date,open,high,low,close,volume,bb_upper_21_2,bb_mid_21,bb_lower_21_2,sma_200,sma_89,sma_50,sma_3,sma_2,macd_line_8_21,macd_signal_5,macd_hist,rsi_13,stoch_rsi_raw_21,stoch_rsi_k_3,stoch_rsi_d_5,plus_di_5,minus_di_5,adx_13
2025-12-17,275.0100,276.1600,271.6400,271.8400,50138543,286.700433,276.508095,266.315757,229.537850,256.265056,268.842600,273.520000,273.225000,0.268120,1.460016,-1.191895,43.769626,0.000000,1.249393,16.051682,8.240804,25.851266,40.926930
2025-12-18,273.6050,273.6300,266.9500,272.1900,51630281,286.303392,276.734286,267.165180,229.720100,256.701685,269.125200,272.880000,272.015000,-0.229925,0.896702,-1.126627,44.588933,2.541780,2.096653,11.416970,6.019910,37.805820,43.357779
2025-12-19,272.1450,274.6000,269.9000,273.6700,144567713,285.943782,276.977619,268.011456,229.911800,257.161124,269.517800,272.566667,272.930000,-0.383089,0.470105,-0.853194,48.056037,13.297952,5.279911,7.061313,8.820900,30.561948,44.269054
2025-12-22,272.8600,273.8800,270.5050,270.9700,36508230,285.273578,277.202381,269.131184,230.071300,257.603596,270.031800,272.276667,272.320000,-0.838194,0.034005,-0.872199,42.767361,0.000000,5.279911,4.765740,7.526443,26.077015,45.110231
2025-12-23,270.8400,272.5000,269.5600,272.3600,29593863,285.205486,277.243810,269.282134,230.295700,258.069551,270.525800,272.333333,271.665000,-0.960527,-0.297505,-0.663021,46.077040,9.958149,7.752034,4.331580,6.489469,26.912751,46.343558
2025-12-24,272.3400,275.4300,272.1950,273.8100,17892492,285.221700,277.143333,269.064966,230.560550,258.555506,271.046600,272.380000,273.085000,-0.837216,-0.477409,-0.359807,49.384831,19.910619,9.956256,6.072953,19.884836,22.625217,43.274548
2025-12-26,274.1600,275.3700,272.8600,273.4000,21521802,285.207879,276.973333,268.738787,230.842650,259.087978,271.527800,273.190000,273.605000,-0.786951,-0.580590,-0.206362,48.473972,17.170031,15.679600,8.789542,17.223602,19.597232,40.441616
2025-12-29,272.6900,274.3600,272.3500,273.7600,23715213,285.134373,276.792857,268.451342,231.163050,259.636966,272.054000,273.656667,273.580000,-0.688240,-0.616473,-0.071767,49.362378,19.843063,18.974571,11.528474,15.188823,20.279592,38.434797
2025-12-30,272.8100,274.0800,272.2800,273.0800,22139617,284.950095,276.518095,268.086096,231.461000,260.146180,272.469800,273.413333,273.420000,-0.693833,-0.642260,-0.051573,47.680128,14.781514,17.264870,13.925466,13.414782,18.365173,36.676511
2025-12-31,273.0600,273.6800,271.7500,271.8600,27293639,284.096667,275.982857,267.869047,231.750300,260.648427,272.662200,272.900000,272.470000,-0.843973,-0.709498,-0.134476,44.718088,5.869341,13.497973,15.074654,11.599033,19.596352,35.827259
2026-01-02,272.2550,277.8400,269.0000,271.0100,37838054,282.232034,275.260000,268.287966,232.041900,261.116966,272.827000,271.983333,271.435000,-1.044699,-0.821231,-0.223468,42.715199,0.000000,6.883618,14.460126,27.080987,11.040469,36.308039
